Alpha,C_P026,C_P027,C_P028,C_P029,C_P030,C_P031,C_P032,C_P033,C_P034,C_P035,C_P036,C_P037,C_P038,C_P039,C_P040,C_P041,C_P042,C_P043,C_P044,C_P045,C_P046,C_P047,C_P048,C_P049
degrees,,,,,,,,,,,,,,,,,,,,,,,,
0,1.030,0.185,-0.165,-0.221,-0.222,-0.209,-0.193,-0.148,-0.113,-0.129,-0.118,-0.118,-0.103,-0.089,-0.079,-0.070,-0.052,-0.039,-0.019,-0.002,0.020,0.026,0.040,0.109
0,1.033,0.188,-0.164,-0.218,-0.219,-0.208,-0.192,-0.146,-0.112,-0.128,-0.117,-0.117,-0.101,-0.087,-0.077,-0.069,-0.051,-0.038,-0.018,-0.001,0.021,0.027,0.041,0.108
-6,-0.621,-2.249,-2.269,-1.984,-0.927,-0.741,-0.640,-0.528,-0.445,-0.421,-0.377,-0.348,-0.308,-0.272,-0.242,-0.217,-0.182,-0.155,-0.119,-0.087,-0.047,-0.019,0.020,0.028
-5,-0.314,-1.995,-1.884,-1.689,-0.732,-0.642,-0.553,-0.454,-0.380,-0.362,-0.324,-0.301,-0.265,-0.233,-0.206,-0.184,-0.153,-0.127,-0.093,-0.062,-0.022,0.007,0.046,0.052
-4,-0.011,-1.933,-1.338,-0.960,-0.733,-0.605,-0.488,-0.377,-0.304,-0.298,-0.269,-0.253,-0.223,-0.197,-0.174,-0.156,-0.127,-0.103,-0.071,-0.041,-0.002,0.028,0.068,0.071
-3,0.336,-1.318,-1.028,-0.755,-0.581,-0.483,-0.415,-0.339,-0.279,-0.275,-0.248,-0.235,-0.209,-0.186,-0.168,-0.151,-0.123,-0.098,-0.063,-0.028,0.013,0.042,0.081,0.070
-2,0.662,-0.776,-0.744,-0.589,-0.468,-0.399,-0.349,-0.281,-0.229,-0.231,-0.210,-0.200,-0.177,-0.156,-0.139,-0.127,-0.106,-0.091,-0.071,-0.056,-0.034,-0.009,0.059,0.072
-1,0.876,-0.330,-0.473,-0.411,-0.354,-0.312,-0.277,-0.220,-0.176,-0.185,-0.168,-0.162,-0.143,-0.125,-0.112,-0.101,-0.081,-0.066,-0.045,-0.030,-0.010,-0.004,0.012,0.083
0,1.008,0.139,-0.178,-0.226,-0.221,-0.209,-0.191,-0.145,-0.110,-0.125,-0.115,-0.114,-0.099,-0.084,-0.074,-0.065,-0.048,-0.034,-0.014,0.002,0.024,0.030,0.042,0.110
1,1.050,0.580,0.116,-0.030,-0.085,-0.100,-0.101,-0.069,-0.043,-0.066,-0.061,-0.065,-0.054,-0.043,-0.035,-0.029,-0.013,-0.001,0.021,0.037,0.061,0.068,0.080,0.074
2,1.005,0.827,0.332,0.115,0.019,-0.016,-0.030,-0.011,0.008,-0.021,-0.021,-0.030,-0.023,-0.015,-0.011,-0.009,0.003,0.012,0.031,0.046,0.070,0.080,0.098,0.098
3,0.849,0.933,0.468,0.220,0.097,0.046,0.021,0.036,0.050,0.017,0.013,0.001,0.005,0.009,0.011,0.010,0.020,0.026,0.042,0.055,0.077,0.088,0.108,0.108
4,0.386,1.038,0.665,0.376,0.216,0.141,0.100,0.106,0.111,0.070,0.060,0.043,0.043,0.043,0.040,0.036,0.041,0.044,0.056,0.065,0.085,0.094,0.114,0.111
5,-0.185,1.046,0.806,0.495,0.316,0.219,0.168,0.166,0.166,0.119,0.104,0.083,0.079,0.076,0.069,0.063,0.065,0.065,0.075,0.082,0.100,0.106,0.127,0.112
6,-0.957,1.014,0.911,0.604,0.405,0.301,0.234,0.227,0.221,0.169,0.149,0.124,0.116,0.110,0.101,0.091,0.091,0.088,0.095,0.100,0.116,0.120,0.139,0.111
7,-1.859,0.885,0.973,0.696,0.484,0.366,0.293,0.278,0.266,0.210,0.187,0.159,0.147,0.138,0.127,0.114,0.111,0.106,0.110,0.112,0.125,0.128,0.144,0.101
8,-2.879,0.713,1.014,0.777,0.559,0.433,0.355,0.332,0.316,0.254,0.228,0.196,0.182,0.169,0.154,0.140,0.134,0.126,0.128,0.127,0.138,0.138,0.150,0.092
9,-3.974,0.492,1.034,0.849,0.630,0.493,0.408,0.382,0.361,0.296,0.265,0.230,0.212,0.197,0.180,0.162,0.154,0.143,0.142,0.139,0.147,0.145,0.155,0.077
10,-4.636,0.296,1.028,0.888,0.676,0.538,0.449,0.417,0.393,0.325,0.291,0.252,0.233,0.214,0.194,0.173,0.162,0.149,0.144,0.138,0.142,0.136,0.142,0.023
10.5,-4.905,0.185,1.015,0.899,0.692,0.553,0.465,0.431,0.406,0.336,0.301,0.261,0.240,0.221,0.200,0.178,0.166,0.150,0.145,0.136,0.140,0.131,0.135,0.001
11,-5.195,0.077,1.016,0.923,0.721,0.575,0.485,0.450,0.422,0.350,0.313,0.271,0.249,0.229,0.206,0.182,0.168,0.152,0.144,0.135,0.136,0.125,0.127,-0.027
11.5,-5.055,-0.083,1.017,0.948,0.751,0.599,0.508,0.470,0.440,0.366,0.327,0.284,0.261,0.238,0.214,0.188,0.173,0.155,0.146,0.134,0.133,0.120,0.120,-0.060
12,-5.230,-0.142,1.007,0.955,0.763,0.611,0.521,0.481,0.450,0.374,0.334,0.290,0.265,0.241,0.215,0.187,0.170,0.150,0.139,0.125,0.121,0.105,0.099,-0.112
12.5,-5.660,-0.186,0.996,0.958,0.770,0.616,0.526,0.485,0.452,0.376,0.334,0.288,0.263,0.236,0.209,0.180,0.161,0.138,0.126,0.109,0.102,0.083,0.074,-0.168
13,-4.998,-0.205,1.004,0.975,0.785,0.631,0.538,0.496,0.462,0.384,0.341,0.293,0.265,0.238,0.208,0.178,0.156,0.132,0.117,0.098,0.088,0.066,0.055,-0.215
13.5,-4.600,-0.170,1.002,0.975,0.790,0.638,0.545,0.502,0.468,0.388,0.344,0.296,0.267,0.238,0.208,0.175,0.153,0.126,0.109,0.088,0.077,0.053,0.039,-0.255
14,-4.256,-0.116,0.993,0.969,0.785,0.634,0.542,0.500,0.465,0.385,0.341,0.291,0.261,0.232,0.201,0.167,0.144,0.116,0.098,0.076,0.063,0.037,0.022,-0.281
14.5,-1.650,0.644,1.052,0.909,0.717,0.582,0.493,0.458,0.428,0.352,0.310,0.263,0.234,0.207,0.177,0.145,0.123,0.097,0.080,0.060,0.049,0.025,0.011,-0.314
15,-1.449,0.724,1.038,0.880,0.687,0.561,0.470,0.436,0.406,0.331,0.289,0.242,0.213,0.185,0.154,0.121,0.098,0.071,0.052,0.030,0.017,-0.009,-0.026,-0.373
15.5,-1.373,0.776,1.047,0.877,0.684,0.557,0.466,0.430,0.400,0.324,0.281,0.233,0.203,0.173,0.140,0.106,0.080,0.052,0.032,0.007,-0.008,-0.037,-0.055,-0.417
16,-1.304,0.817,1.047,0.871,0.674,0.552,0.461,0.425,0.394,0.317,0.274,0.225,0.195,0.163,0.130,0.094,0.067,0.037,0.016,-0.010,-0.027,-0.057,-0.078,-0.442
15.5,-1.356,0.776,1.043,0.871,0.679,0.555,0.463,0.429,0.399,0.324,0.281,0.233,0.203,0.174,0.141,0.107,0.082,0.053,0.033,0.008,-0.007,-0.036,-0.054,-0.417
15,-1.475,0.698,1.043,0.889,0.698,0.570,0.479,0.444,0.414,0.339,0.297,0.250,0.221,0.193,0.162,0.129,0.105,0.078,0.060,0.038,0.025,-0.001,-0.018,-0.359
14.5,-1.682,0.608,1.050,0.913,0.722,0.592,0.501,0.465,0.435,0.359,0.317,0.271,0.243,0.215,0.185,0.153,0.131,0.105,0.088,0.068,0.057,0.034,0.020,-0.298
14,-4.243,-0.105,0.988,0.961,0.780,0.635,0.537,0.495,0.460,0.380,0.336,0.287,0.257,0.227,0.196,0.162,0.138,0.111,0.093,0.071,0.058,0.033,0.017,-0.280
13.5,-4.552,-0.170,0.987,0.960,0.778,0.632,0.535,0.494,0.459,0.381,0.338,0.290,0.260,0.232,0.202,0.170,0.148,0.121,0.105,0.084,0.073,0.049,0.034,-0.251
13,-4.849,-0.200,0.982,0.951,0.766,0.620,0.524,0.484,0.451,0.374,0.332,0.286,0.257,0.231,0.202,0.172,0.151,0.127,0.112,0.093,0.084,0.062,0.051,-0.209
12.5,-5.573,-0.178,0.993,0.948,0.762,0.617,0.523,0.483,0.451,0.375,0.334,0.289,0.263,0.237,0.210,0.182,0.163,0.140,0.128,0.111,0.104,0.085,0.077,-0.160
12,-5.248,-0.146,1.010,0.954,0.761,0.614,0.520,0.480,0.448,0.373,0.333,0.289,0.264,0.239,0.214,0.187,0.170,0.149,0.138,0.124,0.120,0.104,0.100,-0.104
11.5,-5.031,-0.083,1.014,0.945,0.747,0.603,0.508,0.469,0.439,0.365,0.327,0.284,0.260,0.237,0.214,0.188,0.173,0.154,0.146,0.134,0.133,0.120,0.121,-0.053
11,-4.529,0.049,1.017,0.925,0.720,0.580,0.486,0.451,0.424,0.352,0.315,0.274,0.252,0.231,0.209,0.185,0.172,0.154,0.147,0.138,0.139,0.128,0.131,-0.020
10.5,-4.991,0.189,1.037,0.916,0.702,0.565,0.470,0.437,0.411,0.341,0.305,0.265,0.243,0.224,0.202,0.180,0.168,0.152,0.146,0.138,0.141,0.132,0.137,0.006
10,-4.597,0.294,1.025,0.883,0.669,0.535,0.446,0.413,0.389,0.321,0.287,0.249,0.229,0.212,0.192,0.171,0.160,0.146,0.142,0.135,0.140,0.133,0.140,0.026
9,-3.961,0.468,1.026,0.844,0.626,0.495,0.409,0.381,0.360,0.294,0.264,0.229,0.213,0.197,0.180,0.162,0.154,0.142,0.141,0.138,0.146,0.143,0.153,0.078
8,-2.922,0.685,1.014,0.778,0.562,0.435,0.359,0.332,0.316,0.255,0.228,0.196,0.183,0.170,0.155,0.140,0.134,0.126,0.127,0.127,0.137,0.137,0.150,0.094
7,-1.878,0.898,0.989,0.707,0.494,0.374,0.302,0.283,0.271,0.214,0.191,0.162,0.152,0.142,0.130,0.117,0.114,0.109,0.113,0.115,0.128,0.131,0.147,0.106
6,-0.944,0.994,0.902,0.599,0.402,0.300,0.231,0.223,0.217,0.165,0.146,0.121,0.114,0.108,0.099,0.089,0.089,0.086,0.093,0.097,0.113,0.117,0.136,0.110
5,-0.181,1.042,0.808,0.498,0.319,0.223,0.173,0.167,0.166,0.119,0.105,0.084,0.081,0.077,0.070,0.064,0.067,0.066,0.076,0.083,0.100,0.107,0.127,0.116
4,0.394,1.044,0.675,0.383,0.224,0.149,0.106,0.109,0.115,0.073,0.063,0.046,0.047,0.046,0.043,0.039,0.045,0.046,0.059,0.069,0.088,0.097,0.118,0.117
3,0.803,0.987,0.522,0.257,0.126,0.067,0.040,0.050,0.061,0.026,0.021,0.008,0.012,0.015,0.015,0.014,0.023,0.028,0.043,0.056,0.078,0.089,0.108,0.115
2,1.000,0.827,0.336,0.121,0.025,-0.011,-0.029,-0.009,0.010,-0.020,-0.019,-0.028,-0.021,-0.014,-0.010,-0.008,0.004,0.013,0.031,0.046,0.070,0.080,0.098,0.099
1,1.042,0.586,0.126,-0.023,-0.079,-0.095,-0.097,-0.067,-0.041,-0.064,-0.059,-0.063,-0.052,-0.041,-0.033,-0.028,-0.012,0.000,0.021,0.038,0.061,0.069,0.082,0.077
0,1.034,0.193,-0.163,-0.221,-0.220,-0.209,-0.194,-0.149,-0.114,-0.129,-0.119,-0.119,-0.103,-0.089,-0.079,-0.070,-0.052,-0.039,-0.019,-0.002,0.020,0.026,0.039,0.108
-1,0.912,-0.265,-0.453,-0.399,-0.348,-0.308,-0.273,-0.219,-0.175,-0.185,-0.167,-0.162,-0.143,-0.125,-0.112,-0.100,-0.080,-0.066,-0.045,-0.029,-0.009,-0.004,0.009,0.084
-2,0.661,-0.750,-0.726,-0.575,-0.458,-0.390,-0.340,-0.276,-0.225,-0.227,-0.206,-0.196,-0.173,-0.152,-0.136,-0.123,-0.103,-0.088,-0.068,-0.055,-0.033,-0.011,0.056,0.073
-3,0.349,-1.318,-1.030,-0.757,-0.581,-0.486,-0.413,-0.340,-0.280,-0.276,-0.249,-0.235,-0.209,-0.187,-0.169,-0.152,-0.125,-0.099,-0.064,-0.028,0.014,0.044,0.083,0.073
-4,-0.003,-1.901,-1.315,-0.945,-0.718,-0.595,-0.480,-0.377,-0.299,-0.293,-0.264,-0.249,-0.219,-0.194,-0.172,-0.153,-0.126,-0.102,-0.071,-0.041,-0.002,0.027,0.067,0.070
-5,-0.312,-2.002,-1.886,-1.693,-0.732,-0.643,-0.552,-0.455,-0.380,-0.363,-0.324,-0.301,-0.265,-0.233,-0.206,-0.184,-0.153,-0.127,-0.093,-0.062,-0.022,0.007,0.046,0.053
-6,-0.612,-2.227,-2.242,-1.976,-0.916,-0.735,-0.634,-0.524,-0.442,-0.418,-0.374,-0.346,-0.306,-0.270,-0.240,-0.214,-0.181,-0.154,-0.119,-0.087,-0.047,-0.020,0.019,0.030